o_e_firstbit_empty_b	0	complete	FF                   dc.b firstbit()		1		o_e_firstbit_empty_b.asm(4):7: error: bad byte expression
o_e_int_empty_b	0	complete	00                   dc.b int()		1		o_e_int_empty_b.asm(4):7: error: int(): could not evaluate float expression
o_e_sgn_empty_expr	0	complete	0000 0005            dc.l sgn()+5		1		o_e_sgn_empty_expr.asm(4):7: error: bad long expression
o_e_sin_empty_int	0	complete	00                   dc.b int(sin())		1		o_e_sin_empty_int.asm(4):7: error: int(): could not evaluate float expression
o_interp_firstbit	0	complete	32                   dc.b "\{firstbit(12)}"		1		o_interp_firstbit.asm(1):1: error: trailing tokens in expression
o_interp_m1	0	complete	4646 4646 4646       dc.b "\{-1}"		0	46464646464646464646464646464646EEbuilt:17bytes,nofilewritten(pass-o<path>towriteone)	
o_interp_m1_sgn	0	complete	4646 4646 4646       dc.b "\{sgn(-1)}"		1		o_interp_m1_sgn.asm(1):1: error: trailing tokens in expression
o_interp_toupper	0	complete	3431                 dc.b "\{toupper(97)}"		1		o_interp_toupper.asm(1):1: error: trailing tokens in expression
o_tolower_255	0	complete	FF                   dc.b tolower(255)		1		o_tolower_255.asm(4):7: error: bad byte expression
o_tolower_256	2	complete	                     dc.b tolower(256)	error #1320: range overflow;	1		o_tolower_256.asm(4):7: error: bad byte expression
o_tolower_65	0	complete	61                   dc.b tolower(65)		1		o_tolower_65.asm(4):7: error: bad byte expression
o_tolower_97	0	complete	61                   dc.b tolower(97)		1		o_tolower_97.asm(4):7: error: bad byte expression
o_tolower_m1	2	complete	                     dc.b tolower(-1)	error #1320: range overflow;	1		o_tolower_m1.asm(4):7: error: bad byte expression
o_tolower_neg_expr	0	complete	00                   dc.b tolower(0-1+1)		1		o_tolower_neg_expr.asm(4):7: error: bad byte expression
o_tolower_word	0	complete	0061                 dc.w tolower($61)		1		o_tolower_word.asm(4):7: error: bad word expression
o_toupper_255	0	complete	FF                   dc.b toupper(255)		1		o_toupper_255.asm(4):7: error: bad byte expression
o_toupper_256	2	complete	                     dc.b toupper(256)	error #1320: range overflow;	1		o_toupper_256.asm(4):7: error: bad byte expression
o_toupper_65	0	complete	41                   dc.b toupper(65)		1		o_toupper_65.asm(4):7: error: bad byte expression
o_toupper_97	0	complete	41                   dc.b toupper(97)		1		o_toupper_97.asm(4):7: error: bad byte expression
o_toupper_m1	2	complete	                     dc.b toupper(-1)	error #1320: range overflow;	1		o_toupper_m1.asm(4):7: error: bad byte expression
