ref_toupper_256	2	complete	                     dc.b toupper(256)	error #1320: range overflow;	1		ref_toupper_256.asm(4):7: error: bad byte expression
ref_toupper_char	2	complete	                     dc.l toupper('a')	error #1136: expected floating point number, but got string;	1		ref_toupper_char.asm(4):7: error: bad long expression
ref_toupper_float	3	unknown		error #10000: internal error;	1		ref_toupper_float.asm(4):15: error: floating point value where an integer is required (wrap it in `int(...)`)
ref_toupper_floatsym	3	unknown	=2.5                 F set 2.5	error #10000: internal error;	1		ref_toupper_floatsym.asm(5):15: error: floating point value where an integer is required (wrap it in `int(...)`)
ref_toupper_m1	2	complete	                     dc.b toupper(-1)	error #1320: range overflow;	1		ref_toupper_m1.asm(4):7: error: bad byte expression
ref_toupper_string	2	complete	                     dc.l toupper("A")	error #1136: expected floating point number, but got string;	1		ref_toupper_string.asm(4):15: error: string operand in a data directive wider than a byte: asl emits one zero-extended element per character here, which is not implemented
ref_toupper_twoarg	2	complete	                     dc.l toupper(1,2)	error #1490: wrong numbers of function arguments;	1		ref_toupper_twoarg.asm(4):7: error: bad long expression
ref_toupper_undef	2	complete	                     dc.l toupper(Nope)	error #1010: symbol undefined;	1		ref_toupper_undef.asm(4):7: error: bad long expression
signed	0	complete	2D24 35              dc.b signedToString(-5)		1		signed.asm(5):7: error: bad byte expression
t_abs	0	complete	0000 0000 0000       dc.l abs($0)>>32,abs($0)&$FFFFFFFF		0	000000000000000000000000000000010000000000000002000000000000000300000000000000040000000000000005000000000000000600000000	
t_bitcnt	0	complete	0000 0000            dc.l bitcnt($0)		1		t_bitcnt.asm(4):7: error: bad long expression
t_bitpos	0	complete	0000 0000            dc.l bitpos($1)		1		t_bitpos.asm(4):7: error: bad long expression
t_firstbit	0	complete	FFFF FFFF            dc.l firstbit($0)		1		t_firstbit.asm(4):7: error: bad long expression
t_lastbit	0	complete	FFFF FFFF            dc.l lastbit($0)		0	FFFFFFFF0000000000000001000000010000000200000002000000020000000200000003000000030000000300000003000000030000000300000003	
t_sgn	0	complete	0000 0000            dc.l sgn($0)		1		t_sgn.asm(4):7: error: bad long expression
t_sgn_float	0	complete	0000 0000            dc.l sgn(0.0)		1		t_sgn_float.asm(4):11: error: floating point value where an integer is required (wrap it in `int(...)`)
t_tolower	0	complete	00                   dc.b tolower(0)		1		t_tolower.asm(4):7: error: bad byte expression
t_toupper	0	complete	00                   dc.b toupper(0)		1		t_toupper.asm(4):7: error: bad byte expression
